branch_ch,n_bcp,tt,ch_in_tt,module,type,iphi,ieta,high_over_low_gain_ratio,intercalib_factor
220,0,8,21,1,ecal,10,11,10,1
221,0,8,22,1,ecal,9,11,10,1
222,0,8,23,1,ecal,8,11,10,1
223,0,8,24,1,ecal,7,11,10,1
224,0,8,25,1,ecal,6,11,10,1
225,1,0,1,3,ecal,10,55,10,1
226,1,0,2,3,ecal,9,55,10,1
227,1,0,3,3,ecal,8,55,10,1
228,1,0,4,3,ecal,7,55,10,1
229,1,0,5,3,ecal,6,55,10,1
230,1,0,6,3,ecal,6,54,10,1
231,1,0,7,3,ecal,7,54,10,1
232,1,0,8,3,ecal,8,54,10,1
233,1,0,9,3,ecal,9,54,10,1
234,1,0,10,3,ecal,10,54,10,1
235,1,0,11,3,ecal,10,53,10,1
236,1,0,12,3,ecal,9,53,10,1
237,1,0,13,3,ecal,8,53,10,1
238,1,0,14,3,ecal,7,53,10,1
239,1,0,15,3,ecal,6,53,10,1
240,1,0,16,3,ecal,6,52,10,1
241,1,0,17,3,ecal,7,52,10,1
242,1,0,18,3,ecal,8,52,10,1
243,1,0,19,3,ecal,9,52,10,1
244,1,0,20,3,ecal,10,52,10,1
245,1,0,21,3,ecal,10,51,10,1
246,1,0,22,3,ecal,9,51,10,1
247,1,0,23,3,ecal,8,51,10,1
248,1,0,24,3,ecal,7,51,10,1
249,1,0,25,3,ecal,6,51,10,1
250,1,1,1,3,ecal,1,56,10,1
251,1,1,2,3,ecal,2,56,10,1
252,1,1,3,3,ecal,3,56,10,1
253,1,1,4,3,ecal,4,56,10,1
254,1,1,5,3,ecal,5,56,10,1
255,1,1,6,3,ecal,5,57,10,1
256,1,1,7,3,ecal,4,57,10,1
257,1,1,8,3,ecal,3,57,10,1
258,1,1,9,3,ecal,2,57,10,1
259,1,1,10,3,ecal,1,57,10,1
260,1,1,11,3,ecal,1,58,10,1
261,1,1,12,3,ecal,2,58,10,1
262,1,1,13,3,ecal,3,58,10,1
263,1,1,14,3,ecal,4,58,10,1
264,1,1,15,3,ecal,5,58,10,1
265,1,1,16,3,ecal,5,59,10,1
266,1,1,17,3,ecal,4,59,10,1
267,1,1,18,3,ecal,3,59,10,1
268,1,1,19,3,ecal,2,59,10,1
269,1,1,20,3,ecal,1,59,10,1
270,1,1,21,3,ecal,1,60,10,1
271,1,1,22,3,ecal,2,60,10,1
272,1,1,23,3,ecal,3,60,10,1
273,1,1,24,3,ecal,4,60,10,1
274,1,1,25,3,ecal,5,60,10,1
275,1,2,1,2,ecal,10,30,10,1
276,1,2,2,2,ecal,9,30,10,1
277,1,2,3,2,ecal,8,30,10,1
278,1,2,4,2,ecal,7,30,10,1
279,1,2,5,2,ecal,6,30,10,1
280,1,2,6,2,ecal,6,29,10,1
281,1,2,7,2,ecal,7,29,10,1
282,1,2,8,2,ecal,8,29,10,1
283,1,2,9,2,ecal,9,29,10,1
284,1,2,10,2,ecal,10,29,10,1
285,1,2,11,2,ecal,10,28,10,1
286,1,2,12,2,ecal,9,28,10,1
287,1,2,13,2,ecal,8,28,10,1
288,1,2,14,2,ecal,7,28,10,1
289,1,2,15,2,ecal,6,28,10,1
290,1,2,16,2,ecal,6,27,10,1
291,1,2,17,2,ecal,7,27,10,1
292,1,2,18,2,ecal,8,27,10,1
293,1,2,19,2,ecal,9,27,10,1
294,1,2,20,2,ecal,10,27,10,1
295,1,2,21,2,ecal,10,26,10,1
296,1,2,22,2,ecal,9,26,10,1
297,1,2,23,2,ecal,8,26,10,1
298,1,2,24,2,ecal,7,26,10,1
299,1,2,25,2,ecal,6,26,10,1
300,1,3,1,3,ecal,5,50,10,1
301,1,3,2,3,ecal,4,50,10,1
302,1,3,3,3,ecal,3,50,10,1
303,1,3,4,3,ecal,2,50,10,1
304,1,3,5,3,ecal,1,50,10,1
305,1,3,6,3,ecal,1,49,10,1
306,1,3,7,3,ecal,2,49,10,1
307,1,3,8,3,ecal,3,49,10,1
308,1,3,9,3,ecal,4,49,10,1
309,1,3,10,3,ecal,5,49,10,1
310,1,3,11,3,ecal,5,48,10,1
311,1,3,12,3,ecal,4,48,10,1
312,1,3,13,3,ecal,3,48,10,1
313,1,3,14,3,ecal,2,48,10,1
314,1,3,15,3,ecal,1,48,10,1
315,1,3,16,3,ecal,1,47,10,1
316,1,3,17,3,ecal,2,47,10,1
317,1,3,18,3,ecal,3,47,10,1
318,1,3,19,3,ecal,4,47,10,1
319,1,3,20,3,ecal,5,47,10,1
320,1,3,21,3,ecal,5,46,10,1
321,1,3,22,3,ecal,4,46,10,1
322,1,3,23,3,ecal,3,46,10,1
323,1,3,24,3,ecal,2,46,10,1
324,1,3,25,3,ecal,1,46,10,1
325,1,4,1,3,ecal,10,50,10,1
326,1,4,2,3,ecal,9,50,10,1
327,1,4,3,3,ecal,8,50,10,1
328,1,4,4,3,ecal,7,50,10,1
329,1,4,5,3,ecal,6,50,10,1
330,1,4,6,3,ecal,6,49,10,1
331,1,4,7,3,ecal,7,49,10,1
332,1,4,8,3,ecal,8,49,10,1
333,1,4,9,3,ecal,9,49,10,1
334,1,4,10,3,ecal,10,49,10,1
335,1,4,11,3,ecal,10,48,10,1
336,1,4,12,3,ecal,9,48,10,1
337,1,4,13,3,ecal,8,48,10,1
338,1,4,14,3,ecal,7,48,10,1
339,1,4,15,3,ecal,6,48,10,1
340,1,4,16,3,ecal,6,47,10,1
341,1,4,17,3,ecal,7,47,10,1
342,1,4,18,3,ecal,8,47,10,1
343,1,4,19,3,ecal,9,47,10,1
344,1,4,20,3,ecal,10,47,10,1
345,1,4,21,3,ecal,10,46,10,1
346,1,4,22,3,ecal,9,46,10,1
347,1,4,23,3,ecal,8,46,10,1
348,1,4,24,3,ecal,7,46,10,1
349,1,4,25,3,ecal,6,46,10,1
350,1,5,1,3,ecal,5,55,10,1
351,1,5,2,3,ecal,4,55,10,1
352,1,5,3,3,ecal,3,55,10,1
353,1,5,4,3,ecal,2,55,10,1
354,1,5,5,3,ecal,1,55,10,1
355,1,5,6,3,ecal,1,54,10,1
356,1,5,7,3,ecal,2,54,10,1
357,1,5,8,3,ecal,3,54,10,1
358,1,5,9,3,ecal,4,54,10,1
359,1,5,10,3,ecal,5,54,10,1
360,1,5,11,3,ecal,5,53,10,1
361,1,5,12,3,ecal,4,53,10,1
362,1,5,13,3,ecal,3,53,10,1
363,1,5,14,3,ecal,2,53,10,1
364,1,5,15,3,ecal,1,53,10,1
365,1,5,16,3,ecal,1,52,10,1
366,1,5,17,3,ecal,2,52,10,1
367,1,5,18,3,ecal,3,52,10,1
368,1,5,19,3,ecal,4,52,10,1
369,1,5,20,3,ecal,5,52,10,1
370,1,5,21,3,ecal,5,51,10,1
371,1,5,22,3,ecal,4,51,10,1
372,1,5,23,3,ecal,3,51,10,1
